mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
12,51361.1037905902,8193.7286344436,2317.741660540487,47603.30578512396,7896.070255963645,162237.4764929963,1.4124939795076905,1.0
1,22042.388439046354,1335.6512626597832,1346.6099370859447,47603.30578512396,6136.148315085201,130529.45215740734,1.1364332662603653,1.0
2,18398.289819335794,4116.567765893749,397.5996440354211,15867.768595041325,6843.7178130036655,129935.22369055645,1.1312597135768383,1.0
3,69032.37055221498,5734.2892208603735,2428.1937792981626,15867.768595041325,7650.536082054765,178755.38500723755,1.556304440781919,1.0
4,41841.8236129149,5477.915743013669,-3.9712709191662725,47603.305785123965,8336.433652980253,170139.35619598106,1.2936525262016652,1.0
5,10105.205533425924,1573.5130618914554,967.4263128062594,41652.89256198347,6430.329260730277,132767.42665577846,1.009495514328267,1.0
6,106159.99193448783,1405.4163696209143,2112.233534696541,5950.413223140496,7051.265328189414,225218.92287386075,1.7124493417535935,1.0
7,50073.7039244893,1986.8087252592377,9616.112125638261,97190.08264462808,15364.46051169123,155108.7802416517,1.179367724681748,1.0
8,1819.56593365736,1019.3756881346635,2678.759844876331,23801.652892561982,8573.219049743295,122894.09007626213,0.9344237196905938,1.0
9,6600.940888105225,3219.230860304582,4526.339573981211,9917.355371900827,7802.70911933284,110467.85775945705,0.9617702850616082,1.0
10,97260.16505851735,2731.4661260895227,1839.4220414277952,3689.2561983471073,6587.422563618613,198343.38814067037,1.7268441773128065,1.0
11,34806.300406867005,6135.505698799243,1711.1977654875373,59504.13223140493,7375.389949026056,170694.4743004181,1.4861234438331463,1.0
12,47835.38970001197,2429.313375654252,2663.649039440381,57520.66115702477,6456.918432840569,154317.9487467786,1.3435439101162974,1.0
1,53142.96667469147,3321.258365468617,1122.6928217799577,39669.42148760331,6925.337723384679,163064.72175417075,1.4196962546924603,1.0
2,32628.491443207735,3057.9369298423408,2355.8255672022933,49586.77685950412,5841.915002717298,140966.63269779715,1.2273028667683086,1.0
3,100979.79668089407,1253.4959473721683,2575.9372207682754,27768.59504132232,8313.403062523928,204541.99000144887,1.7808112877423918,1.0
4,60975.187822486274,2278.8588657467335,5756.008307258715,77355.37190082645,10752.488434245564,173932.16804735118,1.3224911249987639,1.0
5,45302.22786163609,4611.976731561037,954.9462112447363,47603.305785123965,7965.063662112262,167323.05698206736,1.2722388293705655,1.0
6,20317.3668408348,2407.6748232892132,1149.6909298463142,41652.89256198347,6579.614095205365,140665.90105915623,1.0695514684209755,1.0
7,75051.58412762069,6043.2360593289195,2572.276764353708,11900.826446280991,7925.669250414257,199361.94878505685,1.5158461536506502,1.0
8,61245.141056986344,2160.0178246110445,12101.656395217025,71404.95867768595,19268.795380220832,159991.69721353045,1.2164949245086223,1.0
9,46170.733452539745,3837.958275879879,3321.04113346315,45619.834710743795,6272.093682770086,154787.41941497303,1.3476312794881251,1.0
10,9567.884375842279,2846.641979232634,1119.7635373381781,41652.89256198347,6907.4917740665105,117521.7978966598,1.0231842579055255,1.0
11,16619.26016071856,426.67773548424884,2275.6013578057755,3966.9421487603304,8750.984593239951,119574.20769305655,1.0410532271693451,1.0
12,53963.260300333655,4583.151317908982,857.9606681140285,5950.413223140496,7749.446440102637,163562.79897994202,1.424032682365891,1.0
1,50175.419019248155,2822.4144657858706,4998.7508809422725,49586.77685950412,8719.10577454896,153255.9989499807,1.3342982183874743,1.0
2,43499.08608837222,4594.388808657561,1370.0476982421824,39669.42148760331,6793.744392268431,153516.26026889659,1.336564140873536,1.0
